"Carimbo de data/hora","Faculdade","Esporte","Transporte"
"2026/05/20 3:10:59 PM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/20 3:11:05 PM GMT-3","UFPE","Automobilismo","A Pé"
"2026/05/20 3:15:01 PM GMT-3","UFPE","Automobilismo","A Pé"
"2026/05/20 3:22:50 PM GMT-3","IESO","Corrida","Transporte público"
"2026/05/20 3:28:11 PM GMT-3","CESAR School","Futebol","Transporte público"
"2026/05/20 3:46:34 PM GMT-3","UFPE","Futebol","Táxi / Transporte de aplicativo"
"2026/05/20 3:49:36 PM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/20 3:56:33 PM GMT-3","UFPE","Nenhum ","Táxi / Transporte de aplicativo"
"2026/05/20 3:58:49 PM GMT-3","UFPE","Nenhum","Carro"
"2026/05/20 4:18:04 PM GMT-3","UFPE","Basquete","Transporte público"
"2026/05/20 4:21:12 PM GMT-3","UPE","Futebol","Carro"
"2026/05/20 4:25:32 PM GMT-3","UPE","E-Sports","Transporte público"
"2026/05/20 4:46:44 PM GMT-3","UFPE","Futebol","A Pé"
"2026/05/20 4:47:37 PM GMT-3","UFPE","Futebol","Moto"
"2026/05/20 5:00:39 PM GMT-3","UFPE","Nenhum","Transporte público"
"2026/05/20 5:04:13 PM GMT-3","UFPE","Automobilismo","Transporte público"
"2026/05/20 5:28:12 PM GMT-3","UFPE","Xadrez","Transporte público"
"2026/05/20 5:56:23 PM GMT-3","UFPE","Nenhum","Transporte público"
"2026/05/20 5:59:26 PM GMT-3","UFPE","Futebol","Carro"
"2026/05/20 6:10:01 PM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/20 6:16:23 PM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/20 6:18:25 PM GMT-3","UPE","Nenhum","Transporte público"
"2026/05/20 6:21:56 PM GMT-3","UPE","Futebol","Transporte público"
"2026/05/20 6:25:23 PM GMT-3","UNINASSAU","Futebol","Táxi / Transporte de aplicativo"
